Date,Close,Volume,Price,Open,High,Low,Change %
2012-11-01,1416.180054,71489310000,"1,416.20","1,412.20","1,434.30","1,343.30",0.28%
2012-12-01,1426.189941,66388180000,"1,426.20","1,416.30","1,448.00","1,398.10",0.71%
2013-01-01,1498.109985,75848510000,"1,498.10","1,426.20","1,509.90","1,426.20",5.04%
2013-02-01,1514.680054,69273480000,"1,514.70","1,498.10","1,530.90","1,485.00",1.11%
2013-03-01,1569.189941,68527110000,"1,569.20","1,514.70","1,570.30","1,501.50",3.60%
2013-04-01,1597.569946,77098000000,"1,597.60","1,569.20","1,597.60","1,536.00",1.81%
2013-05-01,1630.73999,76447250000,"1,630.70","1,597.50","1,687.20","1,581.30",2.07%
2013-06-01,1606.280029,74946790000,"1,606.30","1,631.70","1,654.20","1,560.30",-1.50%
2013-07-01,1685.72998,68106820000,"1,685.70","1,609.80","1,698.80","1,604.60",4.94%
2013-08-01,1632.969971,64802810000,"1,633.00","1,689.40","1,709.70","1,627.50",-3.13%
2013-09-01,1681.550049,66174410000,"1,681.50","1,636.00","1,729.90","1,633.40",2.97%
2013-10-01,1756.540039,76647400000,"1,756.50","1,682.40","1,775.20","1,646.50",4.46%
2013-11-01,1805.810059,63628190000,"1,805.80","1,758.70","1,813.50","1,746.20",2.81%
2013-12-01,1848.359985,64958820000,"1,848.40","1,806.50","1,849.40","1,768.00",2.36%
2014-01-01,1782.589966,75871910000,"1,782.60","1,845.90","1,850.80","1,770.50",-3.56%
2014-02-01,1859.449951,69725590000,"1,859.45","1,782.68","1,867.92","1,737.92",4.31%
2014-03-01,1872.339966,71885030000,"1,872.34","1,857.68","1,883.97","1,834.44",0.69%
2014-04-01,1883.949951,71595810000,"1,883.95","1,873.96","1,897.28","1,814.36",0.62%
2014-05-01,1923.569946,63623630000,"1,923.57","1,884.39","1,924.03","1,859.79",2.10%
2014-06-01,1960.22998,63283380000,"1,960.23","1,923.87","1,968.17","1,915.98",1.91%
2014-07-01,1930.670044,66524690000,"1,930.67","1,962.29","1,991.39","1,930.67",-1.51%
2014-08-01,2003.369995,58131140000,"2,003.37","1,929.80","2,005.04","1,904.78",3.77%
2014-09-01,1972.290039,66706000000,"1,972.29","2,004.07","2,019.26","1,964.04",-1.55%
2014-10-01,2018.050049,93714040000,"2,018.05","1,971.44","2,018.19","1,820.66",2.32%
2014-11-01,2067.560059,63600190000,"2,067.56","2,018.21","2,075.76","2,001.01",2.45%
2014-12-01,2058.899902,80743820000,"2,058.90","2,065.78","2,093.55","1,972.56",-0.42%
2015-01-01,1994.98999,77330040000,"1,994.99","2,058.90","2,072.36","1,988.12",-3.10%
2015-02-01,2104.5,68775560000,"2,104.50","1,996.67","2,119.59","1,980.90",5.49%
2015-03-01,2067.889893,76675850000,"2,067.89","2,105.23","2,117.52","2,039.69",-1.74%
